name;vendor;catalog_no;Type
SULFAMIC ACID PWD PLWS PK/100;HACH;105599;Stock
ee CHROMAVER 3 PP 5 OR 10ML PK/100;HACH;1271099;Stock
CYCLOHEXANONE 100ML MDB;HACH;1403332;Stock
NITRAVER 5 PWD PLWS 25ML PK/100;HACH;1403499;Stock
ALUVER 3 POWDER PILLOWS PK/100;HACH;1429099;Stock
BLEACHING 3 RGT PWD PLWS PK/100;HACH;1429449;Stock
ASCORBIC ACID PWD PLWS PK/100;HACH;1457799;Stock
HYDRAVER 2 REAGENT 100 TESTS MDB;HACH;179032;Stock
MOLYBDATE 3 RGT SOLN, 50ML SCDB;HACH;199526;Stock
MOLYBDATE 3 RGT SOLN, 500ML;HACH;199549;Stock
MOLYBDOVANADATE RGT 100TESTS MDB;HACH;2076032-ID;Stock
MOLYBDOVANADATE RGT, 500ML;HACH;2076049;Stock
POTASSIUM PERSULFATE PP PK/100;HACH;2084769;Stock
DPD FREE CHLORINE RGT PP, 10 ML, PK/100;HACH;2105569;Stock
DPD TOT CHLORINE RGT PP 10 ML PK/100;HACH;2105669;Stock
FERROVER, IRON REAGENT PK/100;HACH;2105769;Stock
CUVER 1, COPPER REAGENT PK/100;HACH;2105869;Stock
ee PHOSVER 3 PWD PLWS 10ML PK/100;HACH;2106069;Stock
NITRAVER 5 PWD PLWS 10ML PK/100;HACH;2106169;Stock
CITRIC ACID, FOR SILICA PK/100;HACH;2106269;Stock
ZINCOVER 5, ZINC REAGENT PK/100;HACH;2106669;Stock
SULFAVER 4, SULFATE RGT PK/100;HACH;2106769;Stock
NITRIVER 3 PWD PLW 10ML PK/100;HACH;2107169;Stock
MOLYBDATE RGT, SILICA HR PK/100;HACH;2107369;Stock
ACID RGT, SILICA HIGH RNG PK/100;HACH;2107469;Stock
NITRIVER 2, NITRITE RGT PK/100;HACH;2107569;Stock
rr NESSLER RGT EX ALK, 500ML;HACH;2119449;Stock
ALKALINE CYANIDE RGT 100ML MDB;HACH;2122332;Stock
PAN IND SOLN, 0.1% 100ML MDB;HACH;2122432;Stock
PAN INDICATOR SOLN, 0.1% 500ML;HACH;2122449;Stock
rr COD DIGESTION VIAL, HR HW PK/25;HACH;2125925;Stock
PAN INDICATOR 0.3% 100ML MDB;HACH;2150232;Stock
DEHA REAGENT 1 PWD PLWS PK/100;HACH;2167969;Stock
DEHA REAGENT 2 SOLN, 100ML;HACH;2168042;Stock
EGTA SOLUTION, 50ML SCDB;HACH;2229726;Stock
EDTA SOLN, 1M 50ML SCDB;HACH;2241926;Stock
REAGENT SET, FOR SULFIDE;HACH;2244500;Stock
AMINO ACID F, PP FOR 10ML PK/100;HACH;2254069;Stock
CITRIC ACID RGT SOLN, 500ML;HACH;2254249;Stock
REAGENT SET, CA/MG HARDNESS;HACH;2319900;Stock
POLYVINYL ALCOHOL DISPRSNG RGT 50ML;HACH;2376526;Stock
MINERAL STABILIZER 50ML SCDB;HACH;2376626;Stock
QAC REAGENT 1 PWD PLW PK/50;HACH;2401066;Stock
QAC REAGENT 2, PWD PLWS PK/25;HACH;2401268;Stock
REAGENT SET, SILICA HIGH RANGE 10ML;HACH;2429600;Stock
REAGENT SET, SILICA LR 10ML;HACH;2459300;Stock
REAGENT SET, SILICA ULR BULK RGTS;HACH;2553500;Stock
RGT SET, ULR HARDNESS TOTAL;HACH;2603100;Stock
MOLYVER 1 RGT PP 10ML PK/100;HACH;2604299;Stock
MOLYVER 2 RGT PP 10ML PK/100;HACH;2604399;Stock
MOLYVER 3 RGT PP 10ML PK/100;HACH;2604499;Stock
RGT SET, TNT AMVER HR 50 TESTS;HACH;2606945;Stock
PHTHALATE-PHOSPHATE PP, PK/100;HACH;2615199;Stock
REAGENT SET, COBALT/NICKEL 10ML;HACH;2651600;Stock
Deionized (Demineralized) Water 100 mL;HACH;27242;Stock
SPADNS REAGENT SOLUTION, 100ML;HACH;44442;Stock
SPADNS REAGENT SOLN, 500ML;HACH;44449;Stock
EDTA REAGENT PWD PLWS PK/100;HACH;700599;Stock
AMIDO SULFURIC ACID(MERCK.1.00103.0100);MERCK;1.00103.0100;Stock
AMMONIUM HEPTAMOLYBDATE(MERCK.1.01182.0250);MERCK;1.01182.0250;Stock
AMMONIUM PEROXODISULFATE(MERCK.1.01201.0500);MERCK;1.01201.0500;Stock
Ammonium Iron(II) Sulfat Hexahydrate (MERK.1.03792.0500);MERCK;1.03792.0500;Stock
Ascorbic Acid(MERCK.1.00468.0100);MERCK;1.00468.0100;Stock
Bromo Cresol Green Indicator(MERCK.1.08121.0005);MERCK;1.08121.0005;Stock
Bromophenol Blue(MERCK 108122.0005);MERCK;1.08122.0005;Stock
CALCON CARBOXYLIC ACID(MERCK.1.04594.0050);MERCK;1.04594.0050;Stock
CITRIC ACID MONOHYDRATE(MERCK.1.00244.0500);MERCK;1.00244.0500;Stock
Conduc.Std.Sol.84 S/cm4(EutechECCON84BT);EUTECH;84BT;Stock
EBT Indicator(MERCK.1.03170.0025);MERCK;1.03170.0025;Stock
ETHANOLAMINE (MONO) 99% AR/ACS(LOBA CHEMIE.00134);LOBACHEMIE;00134;Stock
ETHANOLAMINE (MERCK.1.00844.2500);MERCK;1.00844.2500;Stock
GLASSMICROFIBRE WHATMAN(1822-047);WHATMAN;1822-047;Stock
Iodine (Merck 1.04761.0100);MERCK;1.04761.0100;Stock
Larutan Iodine 0.1N(MERCK 109910);MERCK;109910;Stock
Mercury Sulphate (MERCK.1.04480.0250);MERCK;1.04480.0250;Stock
Mercury thiocyanate(MERCK 1.0448.0100);MERCK;1.0448.0100;Stock
Methyl merah (MM) (MERCK 106076.0025);MERCK;1.06076.0025;Stock
Oxalic acid dihydrate(MERCK.1.00495.0500;MERCK;1.00495.0500;Stock
POTASIUM IODIDE(MERCK.105043.0250);MERCK;1.05043.0250;Stock
Pottasium dichromate(MERCK 104865.0500);MERCK;1.04865.0500;Stock
Pottasium iodate(SMART LAB A-2042);SMARTLAB;A-2042;Stock
Silver Sulphate(MERCK.1.01509.0100);MERCK;1.01509.0100;Stock
Sodium thiosulfahte (MERCK1.06516.0500);MERCK;1.06516.0500;Stock
Starch powder(MERCK 1.01252.0100);MERCK;1.01252.0100;Stock
Triethanolamine (CALEDON-9350.10);CALEDON;9350.10;Stock
TRIETHANOLAMINE(SMARTLAB.A-1097);SMARTLAB;A-1097;Stock
Tymol Blue Indicator(MERCK.1.08176.0005);MERCK;1.08176.0005;Stock
POTTASSIUM PERMANGANATE(MERCK.1.05082.0250);MERCK;1.05082.0250;Stock
PHENOL (HI-3864A);HANNA;HI-3864A;Stock
PHENOL (HI-3864B);HANNA;HI-3864B;Stock
TTC OXOID DIPSLIDES TTC( Catt: DS0155A );OXOID;DS0155A;Stock
TCB EASICULT COMBI AIDIAN;THERMALINDO;67987.05984;Stock
NICKLE LR PAN METHOD(HI 93740-01);HANNA;HI 93740-01;Stock
CH3COONa(MERCK.1.06268.1000);MERCK;1.06268.1000;Stock
CH3COONa (SMARTLAB.A-2154);SMARTLAB;A-2154;Stock
EDTA.(MERCK.1.08418.1000);MERCK;1.08418.1000;Stock
HNO3(MERCK 1.00456.2500);MERCK;1.00456.2500;Stock
HNO3(SMARTLAB.A-1063);SMARTLAB;A-1063;Stock
Zinc powder <45 0,5 m(Merck.1.08756.0250);MERCK;1.08756.0250;Stock
X.O(MERCK.108677.0001);MERCK;1.08677.0001;Stock
Calcium Carbonat(MERCK.1.02066.0250);MERCK;1.02066.0250;Stock
EBT(MERCK1.03170.0025);MERCK;1.03170.0025;Stock
MgSO4.7H2O (MERCK.1.05886.0500);MERCK;1.05886.0500;Stock
NH4CL (MERCK.1.01145.0500);MERCK;1.01145.0500;Stock
Amonia (MERCK1.05432.2511);MERCK;1.05432.2511;Stock
KF (MERCK.1.04994.1000);MERCK;1.04994.1000;Stock
HCl 37%(MERCK 1.00317.2500);MERCK;1.00317.2500;Stock
HCl 37%(SMARTLAB.A-1050);SMARTLAB;A-1050;Stock
NaOH(MERCK.1.06498.1000);MERCK;1.06498.1000;Stock
PHENOLPHTHALEIN (MERCK.1.07233.0025);MERCK;1.07233.0025;Stock
ETHANOL(MERCK.1.00983.2500);MERCK;1.00983.2500;Stock
ETHANOL(SMARTLAB.A-1035);SMARTLAB;A-1035;Stock
DI POTASSIUM OXALATE(MERCK.105073.0250);MERCK;1.05073.0250;Stock
BTB(Merck.1.03026.0005);MERCK;1.03026.0005;Stock
KHP(MERCK1.04874.0250);MERCK;1.04874.0250;Stock
AgNO3(MERCK.1.01512.0100);MERCK;1.01512.0100;Stock
AmoniumFerSulfat(MERCK.1.03776.1000);MERCK;1.03776.1000;Stock
NH4SCN(MERCK 1.01213.0500);MERCK;1.01213.0500;Stock
NaCl(MERCK.1.06404.1000);MERCK;1.06404.1000;Stock
POTASSIUM CHROMAT(MERCK.1.04952.0250);MERCK;1.04952.0250;Stock
H2SO4(SMARTLAB.A-1092);SMARTLAB;A-1092;Stock
H2SO4(MERCK 1.00731.2500);MERCK;1.00731.2500;Stock
BaCl2(MERCK 1.01719.1000);MERCK;1.01719.1000;Stock
Acetic Acid Glacial(MERCK 1.00063.2500);MERCK;1.00063.2500;Stock
Acetic Acid Glacial(SMARTLAB.A-1001);SMARTLAB;A-1001;Stock
HYDROXILAMIN(SMARTLAB.A-2776);SMARTLAB;A-2776;Stock
1,10-Phenanthroline(MERCK 1.07225.0010);MERCK;1.07225.0010;Stock
KCI(MERCK.1.04936.0500);MERCK;1.04936.0500;Stock
BUFFER pH 4(MERCK.1.09435.1000);MERCK;1.09435.1000;Stock
Buffer pH 7(MERCK1.09439.1000);MERCK;1.09439.1000;Stock
Buffer pH 9(MERCK1.09461.1000);MERCK;1.09461.1000;Stock
Buffer pH 10(MERCK1.09438.1000);MERCK;1.09438.1000;Stock
pH paper 2-4(Merck.1.09541.0001);MERCK;1.09541.0001;Stock
pH paper 0-14(Merck.1.09535.0001);MERCK;1.09535.0001;Stock
Benzyl Alcohol(Merck.1.00987.2500);MERCK;1.00987.2500;Stock
FILTER PAPER Whatman No 42 125 mm;WHATMAN;1442-125;Stock
FILTER PAPER Sartorius 389;SARTORIUS;FT-3-102-125;Stock
FILTER PAPER Sartorius 1288;SARTORIUS;FT-3-206-125;Stock
THERMO REFERENCE ELECTRODE INTERNAL SOLUTION;THERMOSCIENTIFIC;900011;Stock
GLASS MICROFIBER FILTERS WHATMAN ;WHATMAN;1822-047;Stock
GLASS FIBRE DISCS SARTORIUS;SARTORIUS;FT-3-1103-047;Stock
POTASSIUM IODATE (MERCK.1.05051.0100);MERCK;1.05051.0100;Stock
KCN(SMARTLAB:A-2041);SMARTLAB;A-2041;Stock
NaOH(MERCK.1.06498.5000);MERCK;1.06498.5000;Stock
NaCl(MERCK.1.06404.5000);MERCK;1.06404.5000;Stock
R. for Alkalinity No.1;;;Ticket
R. for P-Alkalinity Indicator;;;Ticket
R. for M-Alkalinity Indicator;;;Ticket
R. for Total Hardness No.1;;;Ticket
R. for Total Hardness Buffer (No.3);;;Ticket
R. for Total Hardness Indicator;;;Ticket
R. for Ca-Hardness Buffer;;;Ticket
R. for Ca-Hardness No.2;;;Ticket
R. for Ca-Hardness No.3;;;Ticket
R. for Ca-Hardness Indicator;;;Ticket
R. for Chloride A;;;Ticket
R. for Chloride B;;;Ticket
R. for Sulfite No.4;;;Ticket
R. for Sulfite No.2;;;Ticket
R. for Sulfite No.1;;;Ticket
EDTA Sulfite;;;Ticket
Organic Standart;;;Ticket
Oxalic Acid Solution;;;Ticket
Organic Acid;;;Ticket
COD 1;;;Ticket
COD2;;;Ticket
Nessler;;;Ticket
HNO3 1:12;;;Ticket
EDTA 0,05 M;;;Ticket
SODIUM ASETAT 5M;;;Ticket
INDIKATOR X.O 0,1 %;;;Ticket
ZnCl2 0,02 M;;;Ticket
HCI 0,5 N;;;Ticket
KF 20%;;;Ticket
INDIKATOR PP 0,1%;;;Ticket
NaOH 0,5 N;;;Ticket
HNO3 1:2;;;Ticket
AgNO3 0,1 N;;;Ticket
NH4SCN 0,1N;;;Ticket
AMONIUM FERSULFAT 10%;;;Ticket
HYDROXILAMIN 10%;;;Ticket
HCI 1:3;;;Ticket
PHENANTHROLINE 0,1 %;;;Ticket
BUFFER ACETAT;;;Ticket
BaCI2 10%;;;Ticket
KIO3 0,1 M;;;Ticket
IODINE 0,1N;;;Ticket
SODIUM THISULFATE 0,1 N;;;Ticket
KI 20%;;;Ticket
KCI 3M;;;Ticket
KCI 0,01 N;;;Ticket
ETHANOL NETRAL;;;Ticket
